Product Name,Quantity (liters/kg),Price per Unit,Total Value,Shelf Life (days),Quantity Sold (liters/kg),Price per Unit (sold),Quantity in Stock (liters/kg),Year,Month,Day,DayOfWeek,Quarter,Days_to_Sell,Days_to_Expire,Expire,Sales_Velocity,Quantity_Abble_Sell_Before_Expire,Quantity_Lost,Stock_Efficiency,Value_Lost,Revenue_Before_Losses
Yogurt,457.01,51.69,23622.8469,27,90,64.6125,367,2019,8,2,4,3,4,23,0,22.5,517.5,0.0,1.3292925756547997,0.0,1163.0249999999999
Ice Cream,847.5,59.46,50392.35,26,709,74.325,138,2019,11,8,4,4,17,9,0,41.705882352941174,375.35294117647055,0.0,1.279472496963387,0.0,10539.285000000002
Ghee,456.46,57.42,26209.9332,128,89,71.775,367,2021,10,24,6,4,5,123,0,17.8,2189.4,0.0,4.991455987381151,0.0,1277.5950000000003
Lassi,627.47,31.21,19583.3387,18,387,39.0125,240,2020,9,28,0,3,18,0,1,21.5,0.0,240.0,0.6167625543850702,7490.400000000001,3019.5675000000006
Ghee,151.6,31.62,4793.592,89,45,39.525,106,2019,1,21,0,1,24,65,0,1.875,121.875,0.0,1.1007585751978892,0.0,355.7249999999999
Lassi,681.45,78.56,53534.71200000001,16,552,98.2,129,2019,7,20,5,3,16,0,1,34.5,0.0,129.0,0.8100374202069117,10134.24,10841.28
Buttermilk,10.08,56.72,571.7376,14,2,70.9,8,2022,6,17,4,2,14,0,1,0.14285714285714285,0.0,8.0,0.1984126984126984,453.76,28.360000000000014
Buttermilk,599.73,97.03,58191.801900000006,12,291,121.2875,308,2022,10,16,6,4,6,6,0,48.5,291.0,17.0,0.970436696513431,1649.51,7058.932499999998
Lassi,855.01,41.16,35192.211599999995,13,629,51.449999999999996,226,2020,4,10,4,2,13,0,1,48.38461538461539,0.0,226.0,0.7356639103636214,9302.16,6472.41
Butter,508.41,99.84,50759.65440000001,38,78,124.80000000000001,430,2022,2,26,5,1,13,25,0,6.0,150.0,280.0,0.4484569540331622,27955.2,1946.8800000000006
Ghee,300.72,11.32,3404.1504000000004,65,26,14.15,274,2020,5,6,2,2,52,13,0,0.5,6.5,267.5,0.10807395583931896,3028.1,73.58
Butter,267.34,51.67,13813.457799999998,25,241,64.5875,26,2022,6,21,1,2,25,0,1,9.64,0.0,26.0,0.9014737787087604,1343.42,3113.1175000000007
Ice Cream,185.74,54.27,10080.1098,27,132,67.8375,53,2021,3,9,1,1,27,0,1,4.888888888888889,0.0,53.0,0.7106708301927425,2876.31,1790.9100000000003
Ghee,248.46,59.58,14803.2468,65,204,74.475,44,2021,9,19,6,3,48,17,0,4.25,72.25,0.0,1.1118489897770265,0.0,3038.579999999999
Ice Cream,278.58,93.01,25910.7258,27,109,116.2625,169,2021,11,15,0,4,27,0,1,4.037037037037037,0.0,169.0,0.3912700122047527,15718.69,2534.5224999999996
Butter,28.08,81.67,2293.2936,28,2,102.0875,26,2020,5,18,0,2,18,10,0,0.1111111111111111,1.1111111111111112,24.88888888888889,0.11079455523899967,2032.6755555555555,40.83500000000001
Curd,503.15,37.16,18697.054,7,485,46.449999999999996,18,2022,10,3,0,4,7,0,1,69.28571428571429,0.0,18.0,0.9639272582728811,668.8799999999999,4505.65
Paneer,541.96,75.11,40706.615600000005,10,299,93.8875,242,2022,3,20,6,1,7,3,0,42.714285714285715,128.14285714285714,113.85714285714286,0.7881446179475554,8551.81,5614.472500000001
Paneer,585.51,90.25,52842.2775,13,27,112.8125,558,2021,11,24,2,4,13,0,1,2.076923076923077,0.0,558.0,0.04611364451503818,50359.5,609.1875
Lassi,574.13,75.58,43392.7454,14,484,94.475,90,2020,12,8,1,4,14,0,1,34.57142857142857,0.0,90.0,0.8430146482503963,6802.2,9145.179999999998
Curd,586.66,75.38,44222.4308,6,165,94.225,421,2020,6,6,5,2,6,0,1,27.5,0.0,421.0,0.28125319605904614,31734.98,3109.4249999999997
Cheese,786.2,60.06,47219.172000000006,82,544,75.075,242,2020,3,24,1,1,13,69,0,41.84615384615385,2887.3846153846152,0.0,4.364518717100757,0.0,8168.16
Yogurt,22.08,19.79,436.9632,21,1,24.737499999999997,21,2019,1,11,4,1,7,14,0,0.14285714285714285,2.0,19.0,0.13586956521739132,376.01,4.947499999999998
Ghee,611.57,39.59,24212.056300000004,114,95,49.487500000000004,516,2019,5,5,6,2,26,88,0,3.6538461538461537,321.53846153846155,194.46153846153845,0.6810969497170586,7698.732307692308,940.2625
Cheese,227.25,46.19,10496.6775,74,106,57.7375,121,2022,2,26,5,1,39,35,0,2.717948717948718,95.12820512820514,25.87179487179486,0.8850526078248852,1195.0182051282045,1224.0349999999999
Yogurt,775.42,90.61,70260.80619999999,26,173,113.2625,602,2022,4,25,0,2,26,0,1,6.653846153846154,0.0,602.0,0.2231048979907663,54547.22,3918.8825000000006
Ghee,866.5,83.54,72387.41,129,735,104.42500000000001,131,2022,6,3,4,2,54,75,0,13.61111111111111,1020.8333333333333,0.0,2.0263512213887287,0.0,15350.475000000004
Cheese,282.11,59.63,16822.2193,66,102,74.53750000000001,180,2020,3,11,2,1,34,32,0,3.0,96.0,84.0,0.7018538867817518,5008.92,1520.5650000000005
Paneer,410.84,65.14,26762.1176,11,226,81.425,184,2021,10,29,4,4,11,0,1,20.545454545454547,0.0,184.0,0.5500924934280985,11985.76,3680.4099999999994
Paneer,922.11,62.95,58046.8245,12,233,78.6875,689,2022,9,6,1,3,12,0,1,19.416666666666668,0.0,689.0,0.25268135038119094,43372.55,3666.837499999999
Butter,300.72,35.21,10588.3512,39,268,44.0125,32,2019,3,23,5,1,14,25,0,19.142857142857142,478.57142857142856,0.0,2.482613156994641,0.0,2359.0700000000006
Yogurt,47.12,85.84,4044.7808,27,18,107.30000000000001,29,2021,1,20,2,1,2,25,0,9.0,225.0,0.0,5.157045840407471,0.0,386.28000000000014
Lassi,100.3,92.57,9284.771,12,71,115.71249999999999,29,2020,9,25,4,3,12,0,1,5.916666666666667,0.0,29.0,0.707876370887338,2684.5299999999997,1643.1174999999998
Curd,169.43,58.49,9909.9607,7,17,73.1125,152,2022,6,25,5,2,7,0,1,2.4285714285714284,0.0,152.0,0.10033642212123,8890.48,248.58249999999992
Butter,502.18,49.58,24898.0844,38,36,61.974999999999994,466,2019,6,17,0,2,2,36,0,18.0,648.0,0.0,1.3620614122426222,0.0,446.21999999999986
Yogurt,929.65,26.45,24589.2425,26,387,33.0625,542,2019,2,13,2,1,12,14,0,32.25,451.5,90.5,0.9019523476577207,2393.725,2559.0375000000004
Lassi,44.28,56.84,2516.8752000000004,14,38,71.05000000000001,6,2019,9,10,1,3,14,0,1,2.7142857142857144,0.0,6.0,0.8581752484191508,341.04,539.9800000000002
Ice Cream,426.92,32.95,14067.014,24,339,41.1875,87,2020,3,3,1,1,24,0,1,14.125,0.0,87.0,0.7940597770074018,2866.65,2792.512499999999
Butter,444.2,59.16,26278.872,26,359,73.94999999999999,85,2019,9,15,6,3,26,0,1,13.807692307692308,0.0,85.0,0.8081945069788384,5028.599999999999,5309.609999999997
Yogurt,394.31,64.5,25432.995,22,159,80.625,235,2021,9,27,0,3,22,0,1,7.2272727272727275,0.0,235.0,0.40323603256321167,15157.5,2563.875
Milk,394.34,30.08,11861.747199999998,25,19,37.599999999999994,375,2022,5,6,4,2,25,0,1,0.76,0.0,375.0,0.04818177207485926,11280.0,142.87999999999994
Buttermilk,475.57,64.81,30821.6917,13,255,81.0125,220,2021,10,21,3,4,13,0,1,19.615384615384617,0.0,220.0,0.5361986668629225,14258.2,4131.6375
Ice Cream,120.06,83.21,9990.1926,25,28,104.01249999999999,92,2021,5,27,3,2,25,0,1,1.12,0.0,92.0,0.23321672497084794,7655.32,582.4699999999998
Milk,37.4,32.01,1197.174,21,6,40.012499999999996,31,2020,10,15,3,4,21,0,1,0.2857142857142857,0.0,31.0,0.16042780748663102,992.31,48.014999999999986
Buttermilk,926.47,51.8,47991.146,9,176,64.75,750,2021,3,10,2,1,9,0,1,19.555555555555557,0.0,750.0,0.18996837458309496,38850.0,2279.2000000000007
Ice Cream,206.61,89.41,18473.0001,30,103,111.76249999999999,103,2022,3,20,6,1,14,16,0,7.357142857142857,117.71428571428571,0.0,1.0682652616731314,0.0,2302.307499999999
Ghee,588.84,37.57,22122.7188,115,244,46.9625,344,2022,11,21,0,4,57,58,0,4.280701754385965,248.28070175438597,95.71929824561403,0.8360177667182698,3596.174035087719,2291.7699999999995
Milk,288.01,97.13,27974.4113,22,274,121.4125,14,2019,10,29,1,4,22,0,1,12.454545454545455,0.0,14.0,0.9513558556994549,1359.82,6653.405
Yogurt,557.87,83.3,46470.571,26,294,104.125,263,2019,7,1,0,3,26,0,1,11.307692307692308,0.0,263.0,0.527004499256099,21907.899999999998,6122.550000000001
Buttermilk,247.9,74.97,18585.063,14,165,93.7125,82,2019,12,28,5,4,14,0,1,11.785714285714286,0.0,82.0,0.6655909640984268,6147.54,3092.512500000001
Paneer,368.03,78.46,28875.6338,11,151,98.07499999999999,217,2019,12,11,2,4,11,0,1,13.727272727272727,0.0,217.0,0.4102926391870228,17025.82,2961.8649999999993
Buttermilk,909.05,11.48,10435.894,13,840,14.350000000000001,69,2019,7,16,1,3,13,0,1,64.61538461538461,0.0,69.0,0.9240415818711842,792.12,2410.8000000000006
Ice Cream,531.27,92.73,49264.6671,22,288,115.91250000000001,243,2020,12,5,5,4,22,0,1,13.090909090909092,0.0,243.0,0.5420972386921904,22533.39,6676.560000000001
Lassi,979.36,63.55,62238.328,16,282,79.4375,697,2020,2,27,3,1,13,3,0,21.692307692307693,65.07692307692308,631.9230769230769,0.35439156497807045,40158.71153846154,4480.275000000001
Yogurt,367.53,99.42,36539.8326,21,114,124.275,253,2021,6,16,2,2,4,17,0,28.5,484.5,0.0,1.6284384948167498,0.0,2833.4700000000003
Curd,31.65,83.16,2632.014,6,6,103.94999999999999,25,2021,9,1,2,3,6,0,1,1.0,0.0,25.0,0.18957345971563982,2079.0,124.73999999999995
Ghee,260.24,32.25,8392.74,82,208,40.3125,52,2022,5,8,6,2,22,60,0,9.454545454545455,567.2727272727273,0.0,2.9790682726434343,0.0,1677.0
Yogurt,713.67,47.37,33806.5479,23,429,59.2125,284,2020,11,7,5,4,23,0,1,18.652173913043477,0.0,284.0,0.6011181638572449,13453.08,5080.432500000001
Curd,672.74,48.57,32674.9818,6,399,60.7125,273,2021,3,3,2,1,6,0,1,66.5,0.0,273.0,0.5930968873561852,13259.61,4844.857499999999
Ghee,781.86,63.34,49523.01240000001,127,197,79.17500000000001,584,2021,12,25,5,4,57,70,0,3.456140350877193,241.9298245614035,342.0701754385965,0.5613918406893862,21666.724912280704,3119.4950000000017
Ice Cream,530.09,43.06,22825.675400000004,21,216,53.825,314,2022,6,16,3,2,4,17,0,54.0,918.0,0.0,2.139259371050199,0.0,2325.2400000000002
Ice Cream,680.06,49.82,33880.589199999995,29,82,62.275,598,2019,5,7,1,2,29,0,1,2.8275862068965516,0.0,598.0,0.12057759609446227,29792.36,1021.3099999999998
Butter,625.21,75.8,47390.918,31,244,94.75,381,2021,3,3,2,1,31,0,1,7.870967741935484,0.0,381.0,0.3902688696597943,28879.8,4623.800000000001
Curd,751.83,46.34,34839.802200000006,6,235,57.925000000000004,516,2021,12,11,5,4,6,0,1,39.166666666666664,0.0,516.0,0.31257066092068686,23911.440000000002,2722.4750000000004
Butter,845.0,53.64,45325.8,28,170,67.05,675,2019,9,22,6,3,19,9,0,8.947368421052632,80.52631578947368,594.4736842105264,0.29648084708813455,31887.568421052634,2279.6999999999994
Lassi,809.3,26.71,21616.403,12,696,33.3875,113,2021,4,20,1,2,12,0,1,58.0,0.0,113.0,0.8600024712714692,3018.23,4647.540000000002
Curd,391.2,54.8,21437.76,7,81,68.5,310,2020,11,17,1,4,7,0,1,11.571428571428571,0.0,310.0,0.20705521472392638,16988.0,1109.7000000000003
Lassi,571.79,22.05,12607.9695,17,566,27.5625,5,2021,10,4,0,4,17,0,1,33.294117647058826,0.0,5.0,0.9898739047552424,110.25,3120.075
Ice Cream,393.72,23.78,9362.6616,28,263,29.725,130,2022,5,14,5,2,15,13,0,17.533333333333335,227.93333333333337,0.0,1.2469098174675743,0.0,1563.535
Cheese,732.5,66.21,48498.825,46,635,82.76249999999999,97,2019,5,13,0,2,46,0,1,13.804347826086957,0.0,97.0,0.8668941979522184,6422.369999999999,10510.837499999996
Lassi,140.1,67.27,9424.526999999998,14,105,84.08749999999999,35,2021,8,31,1,3,14,0,1,7.5,0.0,35.0,0.7494646680942184,2354.45,1765.8374999999996
Curd,81.26,16.92,1374.9192000000005,6,66,21.150000000000002,15,2020,1,11,5,1,6,0,1,11.0,0.0,15.0,0.8122077282795963,253.8,279.18
Cheese,115.31,11.09,1278.7879,82,63,13.8625,52,2022,3,5,5,1,4,78,0,15.75,1228.5,0.0,11.200242823692655,0.0,174.66750000000005
Cheese,541.95,76.59,41507.950500000006,50,467,95.73750000000001,74,2022,5,9,0,2,50,0,1,9.34,0.0,74.0,0.8617031091429098,5667.66,8941.882500000003
Buttermilk,615.13,35.03,21548.0039,11,557,43.7875,58,2019,7,27,5,3,11,0,1,50.63636363636363,0.0,58.0,0.9054996504803863,2031.74,4877.9275
Cheese,780.56,65.04,50767.6224,74,158,81.30000000000001,622,2021,1,10,6,1,40,34,0,3.95,134.3,487.7,0.374474736086912,31720.008,2569.080000000001
Buttermilk,933.22,26.05,24310.381,10,746,32.5625,187,2021,8,30,0,3,10,0,1,74.6,0.0,187.0,0.7993827821949808,4871.35,4858.325
Curd,361.34,67.73,24473.5582,6,346,84.66250000000001,15,2019,4,10,2,2,6,0,1,57.666666666666664,0.0,15.0,0.9575469087286214,1015.95,5858.645000000001
Buttermilk,410.88,15.81,6496.0128,12,160,19.7625,250,2019,6,26,2,2,12,0,1,13.333333333333334,0.0,250.0,0.3894080996884735,3952.5,632.3999999999999
Yogurt,464.89,34.77,16164.225300000002,28,70,43.462500000000006,394,2021,5,26,2,2,8,20,0,8.75,175.0,219.0,0.5270063886080578,7614.630000000001,608.4750000000001
Ice Cream,496.31,11.56,5737.3436,27,157,14.450000000000001,339,2021,6,5,5,2,27,0,1,5.814814814814815,0.0,339.0,0.316334548971409,3918.84,453.7300000000001
Yogurt,542.63,93.54,50757.6102,23,94,116.92500000000001,448,2022,4,12,1,2,23,0,1,4.086956521739131,0.0,448.0,0.17323037797394175,41905.920000000006,2198.1900000000005
Lassi,476.07,19.13,9107.2191,17,189,23.912499999999998,287,2021,3,11,3,1,17,0,1,11.117647058823529,0.0,287.0,0.39700044111160127,5490.3099999999995,903.8924999999998
Ice Cream,593.51,45.16,26802.9116,28,161,56.449999999999996,432,2022,3,8,1,1,10,18,0,16.1,289.8,142.2,0.7595491230139342,6421.751999999999,1817.6899999999998
Butter,791.17,45.01,35610.5617,37,534,56.262499999999996,257,2019,8,24,5,3,16,21,0,33.375,700.875,0.0,1.5608213152672625,0.0,6008.834999999999
Milk,760.19,82.01,62343.18190000001,22,710,102.5125,50,2019,11,11,0,4,22,0,1,32.27272727272727,0.0,50.0,0.9339770320577749,4100.5,14556.774999999998
Curd,330.91,78.3,25910.253,5,160,97.875,170,2021,1,8,4,1,5,0,1,32.0,0.0,170.0,0.4835151551781451,13311.0,3132.0000000000005
Yogurt,111.62,28.84,3219.1208,23,76,36.05,35,2018,12,9,6,4,23,0,1,3.3043478260869565,0.0,35.0,0.6808815624440064,1009.4,547.9599999999998
Ice Cream,721.09,88.25,63636.192500000005,24,448,110.3125,273,2022,2,8,1,1,9,15,0,49.77777777777778,746.6666666666666,0.0,1.6567511221437916,0.0,9884.0
Ice Cream,437.31,53.62,23448.5622,24,267,67.02499999999999,170,2021,4,28,2,2,24,0,1,11.125,0.0,170.0,0.610550867805447,9115.4,3579.1349999999984
Milk,385.32,16.56,6380.8992,21,369,20.7,16,2020,9,14,0,3,21,0,1,17.571428571428573,0.0,16.0,0.9576455932731238,264.96,1527.6600000000003
Lassi,188.84,88.87,16782.2108,13,51,111.0875,137,2018,12,17,0,4,13,0,1,3.923076923076923,0.0,137.0,0.270069900444821,12175.19,1133.0925
Butter,655.24,40.95,26832.078,29,486,51.1875,169,2021,11,13,5,4,22,7,0,22.09090909090909,154.63636363636363,14.363636363636374,0.9777125383620713,588.1909090909096,4975.424999999998
Yogurt,862.97,20.24,17466.5128,30,235,25.299999999999997,627,2021,11,6,5,4,30,0,1,7.833333333333333,0.0,627.0,0.27231537596903715,12690.48,1189.0999999999997
Ghee,870.32,29.24,25448.1568,147,448,36.55,422,2022,12,28,2,4,7,140,0,64.0,8960.0,0.0,10.809817078775621,0.0,3274.879999999999
Yogurt,511.56,16.17,8271.925200000001,30,246,20.212500000000002,265,2022,9,20,1,3,30,0,1,8.2,0.0,265.0,0.480882007975604,4285.05,994.4550000000002
Lassi,732.5,92.06,67433.95,15,153,115.075,579,2020,6,8,0,2,15,0,1,10.2,0.0,579.0,0.20887372013651878,53302.74,3521.295
Lassi,64.22,63.7,4090.814,13,46,79.625,18,2021,1,15,4,1,13,0,1,3.5384615384615383,0.0,18.0,0.7162877608221738,1146.6000000000001,732.5499999999998
Buttermilk,421.39,84.6,35649.594,14,210,105.75,211,2019,9,20,4,3,11,3,0,19.09090909090909,57.272727272727266,153.72727272727275,0.6342645228238146,13005.327272727274,4441.500000000001
Ghee,485.65,66.47,32281.1555,90,32,83.0875,453,2022,10,23,6,4,53,37,0,0.6037735849056604,22.339622641509433,430.66037735849056,0.11189050271081938,28625.995283018867,531.7600000000002
Curd,575.27,92.01,52930.5927,5,295,115.0125,280,2019,1,4,4,1,5,0,1,59.0,0.0,280.0,0.5128026839570984,25762.800000000003,6785.737499999999
Ice Cream,736.78,61.79,45525.6362,24,243,77.2375,493,2021,9,20,0,3,4,20,0,60.75,1215.0,0.0,1.9788810771193572,0.0,3753.7424999999994
Buttermilk,111.84,68.89,7704.6576,10,103,86.1125,8,2021,1,24,6,1,10,0,1,10.3,0.0,8.0,0.9209585121602288,551.12,1773.9174999999996
Curd,336.47,65.23,21947.938100000003,6,108,81.53750000000001,228,2020,4,24,4,2,6,0,1,18.0,0.0,228.0,0.32097958213213656,14872.44,1761.2100000000005
Yogurt,12.6,32.48,409.24799999999993,25,7,40.599999999999994,5,2021,3,31,2,1,25,0,1,0.28,0.0,5.0,0.5555555555555557,162.39999999999998,56.83999999999998
Ghee,648.1,92.22,59767.782,90,479,115.275,169,2021,5,27,3,2,45,45,0,10.644444444444444,479.0,0.0,1.4781669495448233,0.0,11043.345000000003
Curd,459.1,39.6,18180.36,6,450,49.5,9,2019,9,2,0,3,6,0,1,75.0,0.0,9.0,0.980178610324548,356.40000000000003,4454.999999999999
Ice Cream,675.45,22.47,15177.3615,24,292,28.0875,383,2022,3,14,0,1,8,16,0,36.5,584.0,0.0,1.2969131689984454,0.0,1640.31
Paneer,88.05,89.26,7859.343,13,10,111.575,78,2020,3,8,6,1,13,0,1,0.7692307692307693,0.0,78.0,0.1135718341851221,6962.280000000001,223.14999999999998
Buttermilk,216.32,61.97,13405.3504,11,39,77.4625,177,2022,2,7,0,1,11,0,1,3.5454545454545454,0.0,177.0,0.18028846153846154,10968.69,604.2075000000002
Yogurt,580.88,78.16,45401.5808,21,190,97.69999999999999,390,2020,12,14,0,4,21,0,1,9.047619047619047,0.0,390.0,0.32708993251618235,30482.399999999998,3712.5999999999985
Ice Cream,670.12,35.75,23956.79,26,19,44.6875,651,2021,9,5,6,3,26,0,1,0.7307692307692307,0.0,651.0,0.02835313078254641,23273.25,169.8125
Paneer,797.5,97.48,77740.3,11,723,121.85000000000001,74,2019,12,12,3,4,11,0,1,65.72727272727273,0.0,74.0,0.9065830721003136,7213.52,17619.510000000002
Yogurt,215.36,97.02,20894.2272,24,90,121.27499999999999,125,2020,12,1,1,4,9,15,0,10.0,150.0,0.0,1.1144130757800892,0.0,2182.95
Milk,127.95,29.78,3810.351,2,80,37.225,47,2021,6,25,4,2,2,0,1,40.0,0.0,47.0,0.6252442360296991,1399.66,595.6
Lassi,704.51,73.6,51851.936,17,552,92.0,152,2019,12,29,6,4,17,0,1,32.470588235294116,0.0,152.0,0.7835232998821876,11187.199999999999,10156.800000000003
Butter,72.48,97.32,7053.7536,26,52,121.64999999999999,20,2020,9,1,1,3,26,0,1,2.0,0.0,20.0,0.717439293598234,1946.3999999999999,1265.1599999999999
Ice Cream,831.19,15.25,12675.6475,24,667,19.0625,164,2022,5,10,1,2,24,0,1,27.791666666666668,0.0,164.0,0.8024639372465981,2501.0,2542.9375
Curd,85.73,15.04,1289.3792,7,74,18.799999999999997,11,2021,1,3,6,1,7,0,1,10.571428571428571,0.0,11.0,0.8631750845678292,165.44,278.23999999999984
Yogurt,774.8,67.44,52252.512,26,221,84.3,553,2021,6,14,0,2,6,20,0,36.833333333333336,736.6666666666667,0.0,1.2360178970917228,0.0,3726.06
Ice Cream,74.7,85.07,6354.728999999999,23,68,106.33749999999999,6,2022,8,26,4,3,22,1,0,3.090909090909091,3.090909090909091,2.909090909090909,0.951685529998783,247.47636363636363,1446.1899999999998
Yogurt,422.98,88.31,37353.3638,24,15,110.3875,407,2019,8,4,6,3,24,0,1,0.625,0.0,407.0,0.035462669629769725,35942.17,331.1625
Curd,114.62,56.4,6464.568,5,60,70.5,54,2021,5,30,6,2,5,0,1,12.0,0.0,54.0,0.5234688536032106,3045.6,846.0000000000001
Ghee,115.4,71.88,8294.952,105,108,89.85,7,2022,2,27,6,1,58,47,0,1.8620689655172413,87.51724137931035,0.0,1.6942568577063288,0.0,1940.7599999999998
Lassi,25.84,92.76,2396.9184,13,17,115.95,8,2020,5,24,6,2,3,10,0,5.666666666666667,56.66666666666667,0.0,2.8508771929824563,0.0,394.22999999999996
Cheese,76.49,89.23,6825.2027,34,53,111.53750000000001,23,2020,1,25,5,1,28,6,0,1.8928571428571428,11.357142857142858,11.642857142857142,0.8413798255607644,1038.892142857143,1182.2975000000001
Yogurt,669.01,50.74,33945.5674,29,501,63.425000000000004,168,2020,2,10,0,1,9,20,0,55.666666666666664,1113.3333333333333,0.0,2.413018240883295,0.0,6355.185000000001
Ghee,610.4,70.57,43075.92799999999,118,201,88.21249999999999,409,2022,12,27,1,4,37,81,0,5.4324324324324325,440.02702702702703,0.0,1.0501753391661648,0.0,3546.1424999999995
Buttermilk,510.38,27.96,14270.2248,8,357,34.95,153,2019,10,20,6,4,8,0,1,44.625,0.0,153.0,0.6994788197029664,4277.88,2495.4300000000007
Paneer,345.63,82.96,28673.4648,13,96,103.69999999999999,249,2020,9,27,6,3,13,0,1,7.384615384615385,0.0,249.0,0.27775366721638745,20657.039999999997,1991.0399999999995
Ice Cream,204.89,52.4,10736.236,24,115,65.5,89,2021,7,1,3,3,22,2,0,5.2272727272727275,10.454545454545455,78.54545454545455,0.6123019447242202,4115.781818181818,1506.5000000000002
Cheese,32.05,85.81,2750.2105,43,7,107.2625,25,2020,9,24,3,3,5,38,0,1.4,53.199999999999996,0.0,1.8783151326053042,0.0,150.16750000000002
Cheese,248.89,10.05,2501.3445,30,188,12.5625,60,2022,3,1,1,1,30,0,1,6.266666666666667,0.0,60.0,0.755353770742095,603.0,472.34999999999985
Butter,63.97,85.72,5483.5084,30,4,107.15,59,2021,7,1,3,3,30,0,1,0.13333333333333333,0.0,59.0,0.06252931061435048,5057.48,85.72000000000003
Yogurt,201.93,59.11,11936.0823,26,66,73.8875,135,2019,5,8,2,2,26,0,1,2.5384615384615383,0.0,135.0,0.32684593671074136,7979.85,975.3150000000003
Yogurt,290.93,31.79,9248.6647,30,286,39.7375,4,2021,8,3,1,3,30,0,1,9.533333333333333,0.0,4.0,0.9830543429690991,127.16,2272.984999999999
Yogurt,769.71,12.0,9236.52,28,677,15.0,92,2020,11,11,2,4,28,0,1,24.178571428571427,0.0,92.0,0.8795520390796533,1104.0,2031.0
Buttermilk,433.35,34.22,14829.237,9,186,42.775,247,2019,12,19,3,4,9,0,1,20.666666666666668,0.0,247.0,0.4292142609899619,8452.34,1591.23
Curd,379.96,68.14,25890.4744,6,139,85.175,240,2020,1,28,1,1,6,0,1,23.166666666666668,0.0,240.0,0.36582798189283083,16353.6,2367.8649999999993
Cheese,721.28,73.01,52660.6528,26,282,91.2625,439,2020,5,12,1,2,24,2,0,11.75,23.5,415.5,0.42355257320319434,30335.655000000002,5147.204999999999
Buttermilk,661.21,16.94,11200.897400000002,7,115,21.175,546,2021,12,9,3,4,3,4,0,38.333333333333336,153.33333333333334,392.66666666666663,0.4058216502069439,6651.7733333333335,487.0249999999999
Curd,78.89,54.64,4310.5496,7,54,68.3,24,2019,10,23,2,4,1,6,0,54.0,324.0,0.0,4.79148181011535,0.0,737.6399999999999
Lassi,673.84,10.83,7297.6872,15,176,13.5375,497,2020,7,16,3,3,10,5,0,17.6,88.0,409.0,0.39178439985753294,4429.47,476.5199999999999
Yogurt,621.4,66.95,41602.73,28,458,83.6875,163,2020,6,17,2,2,28,0,1,16.357142857142858,0.0,163.0,0.7370453813968458,10912.85,7665.774999999999
Butter,920.05,47.7,43886.385,35,541,59.625,379,2022,8,20,5,3,35,0,1,15.457142857142857,0.0,379.0,0.588011521112983,18078.3,6451.424999999998
Cheese,388.05,34.33,13321.7565,65,39,42.912499999999994,349,2019,6,28,4,2,54,11,0,0.7222222222222222,7.944444444444445,341.05555555555554,0.1209752466033873,11708.437222222221,334.71749999999986
Paneer,329.66,57.63,18998.3058,10,8,72.03750000000001,321,2019,10,23,2,4,10,0,1,0.8,0.0,321.0,0.02426742704604744,18499.23,115.26000000000005
Yogurt,617.41,66.26,40909.5866,23,334,82.825,283,2019,8,3,5,3,23,0,1,14.521739130434783,0.0,283.0,0.5409695340211529,18751.58,5532.709999999999
Ghee,155.56,52.05,8096.897999999999,97,33,65.0625,122,2022,11,1,1,4,47,50,0,0.7021276595744681,35.1063829787234,86.8936170212766,0.43781423874211495,4522.812765957447,429.4125000000001
Ice Cream,205.77,34.46,7090.8342,29,14,43.075,191,2022,7,19,1,3,29,0,1,0.4827586206896552,0.0,191.0,0.06803712883316324,6581.860000000001,120.61000000000003
Lassi,372.9,73.4,27370.86,12,70,91.75,302,2021,8,25,2,3,12,0,1,5.833333333333333,0.0,302.0,0.18771788683293109,22166.800000000003,1284.4999999999995
Ghee,261.52,90.98,23793.0896,93,108,113.72500000000001,153,2020,11,20,4,4,25,68,0,4.32,293.76,0.0,1.5362496176200675,0.0,2456.4600000000005
Buttermilk,997.98,91.68,91494.8064,10,407,114.60000000000001,590,2022,1,6,3,1,10,0,1,40.7,0.0,590.0,0.4078238040842502,54091.200000000004,9328.44
Lassi,373.85,61.26,22902.051,12,28,76.575,345,2022,6,8,2,2,10,2,0,2.8,5.6,339.4,0.08987561856359501,20791.643999999997,428.82000000000016
Ice Cream,841.8,18.29,15396.522,28,816,22.862499999999997,25,2019,6,9,6,2,28,0,1,29.142857142857142,0.0,25.0,0.9693513898788312,457.25,3731.1599999999985
Lassi,659.08,12.12,7988.0496,18,527,15.149999999999999,132,2019,11,14,3,4,18,0,1,29.27777777777778,0.0,132.0,0.7995994416459307,1599.84,1596.8099999999997
Milk,987.13,74.09,73136.4617,27,860,92.61250000000001,127,2019,8,21,2,3,27,0,1,31.85185185185185,0.0,127.0,0.8712125049385593,9409.43,15929.350000000008
Lassi,872.21,75.31,65686.1351,15,175,94.1375,697,2022,2,27,6,1,4,11,0,43.75,481.25,215.75,0.7523990782036436,16248.1325,3294.8125
Yogurt,437.19,26.91,11764.7829,28,265,33.6375,172,2019,8,15,3,3,21,7,0,12.619047619047619,88.33333333333333,83.66666666666667,0.8081917091729759,2251.4700000000003,1782.7875000000008
